January_01,January_02,January_03,January_04,January_05,January_06,January_07,January_08,January_09,January_10,January_11,January_12,January_13,January_14,January_15,January_16,January_17,January_18,January_19,January_20,January_21,January_22,January_23,January_24,January_25,January_26,January_27,January_28,January_29,January_30,January_31,February_01,February_02,February_03,February_04,February_05,February_06,February_07,February_08,February_09,February_10,February_11,February_12,February_13,February_14,February_15,February_16,February_17,February_18,February_19,February_20,February_21,February_22,February_23,February_24,February_25,February_26,February_27,February_28,February_29,March_01,March_02,March_03,March_04,March_05,March_06,March_07,March_08,March_09,March_10,March_11,March_12,March_13,March_14,March_15,March_16,March_17,March_18,March_19,March_20,March_21,March_22,March_23,March_24,March_25,March_26,March_27,March_28,March_29,March_30,March_31,April_01,April_02,April_03,April_04,April_05,April_06,April_07,April_08,April_09,April_10,April_11,April_12,April_13,April_14,April_15,April_16,April_17,April_18,April_19,April_20,April_21,April_22,April_23,cbg
21.0,22.0,23.0,19.0,17.0,16.0,16.0,16.0,17.0,19.0,15.0,21.0,19.0,20.0,14.0,14.0,18.0,20.0,23.0,10.0,19.0,16.0,17.0,20.0,17.0,17.0,14.0,12.0,11.0,19.0,22.0,27.0,18.0,11.0,21.0,16.0,16.0,22.0,21.0,16.0,13.0,17.0,13.0,8.0,16.0,15.0,16.0,9.0,11.0,12.0,17.0,15.0,15.0,16.0,9.0,12.0,13.0,13.0,17.0,17.0,14.0,13.0,18.0,14.0,13.0,18.0,16.0,15.0,14.0,13.0,15.0,15.0,23.0,20.0,20.0,18.0,23.0,17.0,17.0,16.0,15.0,16.0,22.0,16.0,23.0,18.0,23.0,21.0,20.0,16.0,20.0,23.0,26.0,30.0,27.0,23.0,21.0,24.0,20.0,23.0,23.0,23.0,24.0,25.0,21.0,20.0,21.0,19.0,18.0,15.0,16.0,18.0,19.0,21.0,421010320003
22.0,21.0,19.0,21.0,22.0,14.0,15.0,18.0,19.0,23.0,20.0,19.0,20.0,13.0,18.0,14.0,19.0,23.0,22.0,14.0,19.0,17.0,15.0,17.0,20.0,13.0,15.0,15.0,16.0,13.0,19.0,23.0,21.0,19.0,12.0,19.0,19.0,21.0,20.0,20.0,18.0,18.0,16.0,14.0,15.0,15.0,13.0,14.0,12.0,15.0,13.0,12.0,18.0,13.0,11.0,10.0,11.0,15.0,15.0,21.0,16.0,12.0,17.0,12.0,15.0,20.0,11.0,14.0,15.0,12.0,9.0,18.0,20.0,17.0,20.0,19.0,20.0,18.0,15.0,16.0,19.0,21.0,20.0,14.0,17.0,17.0,19.0,20.0,17.0,18.0,16.0,16.0,24.0,15.0,21.0,19.0,21.0,16.0,20.0,15.0,18.0,21.0,17.0,19.0,17.0,16.0,21.0,15.0,16.0,17.0,17.0,15.0,17.0,13.0,421010268004
21.0,14.0,18.0,15.0,20.0,12.0,20.0,15.0,14.0,16.0,18.0,19.0,11.0,8.0,11.0,14.0,12.0,16.0,17.0,12.0,11.0,9.0,14.0,14.0,14.0,12.0,8.0,7.0,10.0,9.0,13.0,17.0,17.0,14.0,16.0,14.0,13.0,15.0,15.0,19.0,15.0,10.0,12.0,11.0,14.0,8.0,10.0,9.0,11.0,11.0,9.0,12.0,12.0,12.0,9.0,13.0,11.0,8.0,14.0,16.0,13.0,15.0,11.0,11.0,11.0,12.0,7.0,12.0,13.0,10.0,9.0,12.0,17.0,18.0,17.0,18.0,21.0,19.0,14.0,8.0,9.0,14.0,18.0,16.0,15.0,14.0,17.0,14.0,13.0,17.0,13.0,15.0,13.0,15.0,15.0,19.0,19.0,18.0,19.0,19.0,13.0,15.0,18.0,17.0,17.0,18.0,17.0,16.0,18.0,16.0,19.0,16.0,18.0,15.0,421010024003
13.0,10.0,12.0,11.0,14.0,9.0,11.0,12.0,11.0,8.0,8.0,11.0,7.0,7.0,9.0,10.0,8.0,11.0,8.0,7.0,7.0,8.0,8.0,5.0,9.0,10.0,8.0,7.0,10.0,6.0,7.0,18.0,15.0,9.0,13.0,11.0,14.0,12.0,12.0,13.0,10.0,10.0,15.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,7.0,9.0,9.0,9.0,6.0,9.0,6.0,7.0,10.0,9.0,11.0,10.0,9.0,13.0,11.0,11.0,13.0,10.0,10.0,7.0,11.0,11.0,12.0,8.0,14.0,10.0,9.0,9.0,10.0,10.0,14.0,10.0,12.0,9.0,11.0,11.0,12.0,12.0,12.0,15.0,16.0,12.0,12.0,10.0,14.0,14.0,15.0,10.0,13.0,7.0,13.0,12.0,13.0,12.0,13.0,10.0,13.0,14.0,13.0,12.0,15.0,13.0,10.0,421010074005
21.0,18.0,26.0,19.0,20.0,17.0,20.0,20.0,19.0,29.0,20.0,21.0,16.0,18.0,20.0,21.0,18.0,18.0,22.0,15.0,17.0,16.0,17.0,20.0,17.0,15.0,17.0,14.0,15.0,15.0,15.0,37.0,22.0,29.0,23.0,28.0,26.0,28.0,28.0,26.0,25.0,19.0,22.0,19.0,20.0,20.0,20.0,18.0,14.0,17.0,18.0,19.0,25.0,19.0,19.0,17.0,15.0,16.0,23.0,32.0,20.0,23.0,24.0,23.0,23.0,20.0,20.0,17.0,21.0,19.0,21.0,21.0,18.0,25.0,14.0,18.0,19.0,18.0,19.0,16.0,18.0,27.0,26.0,19.0,26.0,24.0,23.0,21.0,18.0,18.0,20.0,28.0,27.0,27.0,26.0,25.0,30.0,24.0,29.0,26.0,29.0,31.0,30.0,22.0,33.0,35.0,29.0,33.0,31.0,28.0,32.0,32.0,29.0,25.0,421010152004
4.0,6.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,6.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,7.0,6.0,4.0,4.0,7.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,6.0,4.0,3.0,6.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,421010158004
26.0,22.0,30.0,34.0,27.0,25.0,17.0,16.0,20.0,22.0,26.0,26.0,17.0,19.0,17.0,17.0,27.0,22.0,25.0,23.0,18.0,17.0,19.0,25.0,23.0,21.0,19.0,17.0,19.0,18.0,23.0,34.0,31.0,23.0,24.0,16.0,28.0,29.0,30.0,16.0,21.0,23.0,22.0,24.0,31.0,28.0,21.0,23.0,21.0,17.0,18.0,23.0,28.0,17.0,14.0,13.0,18.0,16.0,27.0,26.0,22.0,21.0,26.0,20.0,26.0,20.0,25.0,33.0,16.0,14.0,22.0,19.0,27.0,17.0,19.0,21.0,18.0,28.0,23.0,23.0,26.0,23.0,29.0,28.0,32.0,30.0,24.0,32.0,30.0,28.0,29.0,38.0,48.0,38.0,41.0,38.0,29.0,29.0,24.0,31.0,32.0,29.0,33.0,24.0,33.0,28.0,22.0,22.0,31.0,27.0,30.0,26.0,28.0,28.0,421010320002
16.0,9.0,14.0,16.0,11.0,10.0,13.0,14.0,11.0,13.0,15.0,13.0,15.0,9.0,14.0,14.0,16.0,14.0,16.0,8.0,12.0,14.0,11.0,11.0,15.0,9.0,16.0,11.0,10.0,14.0,17.0,18.0,13.0,13.0,18.0,16.0,11.0,17.0,19.0,18.0,19.0,18.0,14.0,13.0,18.0,17.0,17.0,10.0,9.0,13.0,14.0,18.0,15.0,16.0,13.0,13.0,14.0,16.0,15.0,21.0,15.0,18.0,16.0,13.0,16.0,18.0,12.0,14.0,17.0,14.0,17.0,14.0,14.0,18.0,14.0,19.0,15.0,17.0,25.0,13.0,14.0,20.0,21.0,19.0,22.0,17.0,21.0,22.0,15.0,17.0,17.0,20.0,19.0,14.0,18.0,18.0,18.0,16.0,17.0,23.0,16.0,20.0,18.0,22.0,17.0,19.0,19.0,18.0,20.0,20.0,16.0,19.0,17.0,15.0,421010333003
10.0,10.0,12.0,18.0,7.0,10.0,13.0,7.0,9.0,12.0,14.0,10.0,10.0,6.0,9.0,11.0,12.0,13.0,11.0,6.0,4.0,7.0,8.0,8.0,11.0,9.0,7.0,3.0,6.0,4.0,6.0,20.0,15.0,7.0,10.0,8.0,11.0,13.0,11.0,9.0,9.0,8.0,8.0,7.0,8.0,15.0,14.0,6.0,7.0,11.0,9.0,11.0,15.0,12.0,8.0,10.0,11.0,6.0,9.0,11.0,14.0,10.0,9.0,10.0,10.0,13.0,12.0,12.0,11.0,10.0,8.0,16.0,13.0,12.0,15.0,11.0,15.0,15.0,11.0,13.0,16.0,16.0,18.0,17.0,13.0,15.0,17.0,20.0,19.0,20.0,20.0,15.0,20.0,14.0,15.0,18.0,17.0,17.0,12.0,19.0,13.0,17.0,14.0,15.0,14.0,15.0,16.0,12.0,18.0,18.0,15.0,18.0,13.0,11.0,421010337024
17.0,14.0,16.0,18.0,15.0,16.0,17.0,16.0,14.0,16.0,16.0,13.0,11.0,12.0,15.0,13.0,15.0,15.0,18.0,14.0,13.0,12.0,11.0,15.0,14.0,16.0,11.0,10.0,13.0,13.0,15.0,22.0,20.0,10.0,18.0,16.0,12.0,20.0,18.0,19.0,19.0,18.0,14.0,16.0,14.0,18.0,15.0,11.0,14.0,11.0,14.0,16.0,15.0,14.0,12.0,16.0,11.0,14.0,14.0,22.0,11.0,15.0,18.0,14.0,19.0,20.0,21.0,17.0,15.0,17.0,16.0,16.0,17.0,18.0,19.0,16.0,17.0,22.0,15.0,18.0,14.0,21.0,19.0,16.0,19.0,18.0,18.0,21.0,24.0,21.0,23.0,26.0,24.0,20.0,19.0,25.0,20.0,23.0,21.0,22.0,20.0,24.0,25.0,22.0,19.0,21.0,22.0,14.0,18.0,25.0,21.0,26.0,22.0,20.0,421010362024
15.0,16.0,16.0,14.0,16.0,12.0,14.0,13.0,13.0,14.0,20.0,16.0,17.0,11.0,13.0,13.0,10.0,16.0,14.0,13.0,15.0,9.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,14.0,14.0,26.0,14.0,16.0,16.0,16.0,16.0,15.0,13.0,16.0,9.0,15.0,12.0,13.0,13.0,13.0,13.0,7.0,9.0,10.0,11.0,12.0,12.0,11.0,11.0,16.0,14.0,15.0,10.0,22.0,14.0,13.0,12.0,13.0,18.0,14.0,13.0,14.0,14.0,9.0,10.0,10.0,16.0,14.0,10.0,17.0,9.0,13.0,14.0,13.0,14.0,16.0,11.0,15.0,12.0,13.0,13.0,17.0,15.0,14.0,13.0,20.0,20.0,20.0,13.0,17.0,18.0,17.0,17.0,19.0,15.0,20.0,16.0,20.0,15.0,17.0,13.0,15.0,16.0,14.0,18.0,12.0,14.0,12.0,421010201024
28.0,28.0,32.0,35.0,25.0,21.0,17.0,24.0,19.0,34.0,33.0,29.0,24.0,21.0,24.0,24.0,32.0,25.0,34.0,21.0,24.0,19.0,22.0,32.0,29.0,24.0,21.0,18.0,21.0,16.0,29.0,43.0,33.0,26.0,25.0,26.0,31.0,40.0,37.0,33.0,32.0,23.0,24.0,29.0,37.0,40.0,39.0,22.0,25.0,20.0,21.0,35.0,32.0,32.0,20.0,15.0,27.0,22.0,37.0,36.0,29.0,25.0,25.0,20.0,27.0,31.0,41.0,33.0,25.0,25.0,23.0,24.0,33.0,36.0,38.0,41.0,44.0,41.0,27.0,27.0,22.0,35.0,40.0,36.0,36.0,38.0,41.0,35.0,37.0,42.0,39.0,45.0,47.0,50.0,47.0,43.0,43.0,40.0,42.0,39.0,42.0,42.0,51.0,47.0,43.0,43.0,41.0,44.0,37.0,39.0,40.0,39.0,45.0,47.0,421010373001
3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,421010078002
18.0,22.0,29.0,19.0,11.0,16.0,19.0,19.0,19.0,21.0,23.0,22.0,17.0,22.0,20.0,19.0,23.0,23.0,22.0,21.0,18.0,20.0,18.0,25.0,23.0,18.0,15.0,19.0,12.0,15.0,21.0,30.0,23.0,23.0,24.0,25.0,20.0,25.0,25.0,25.0,23.0,22.0,19.0,16.0,15.0,24.0,22.0,9.0,18.0,15.0,10.0,21.0,22.0,10.0,15.0,13.0,14.0,16.0,22.0,23.0,13.0,16.0,15.0,18.0,12.0,17.0,18.0,16.0,18.0,15.0,12.0,17.0,17.0,23.0,23.0,23.0,22.0,24.0,25.0,22.0,22.0,21.0,17.0,23.0,22.0,26.0,28.0,27.0,28.0,19.0,31.0,35.0,33.0,28.0,32.0,29.0,29.0,32.0,30.0,25.0,21.0,31.0,28.0,28.0,27.0,23.0,29.0,33.0,29.0,29.0,30.0,26.0,24.0,27.0,421010275002
7.0,5.0,5.0,7.0,7.0,7.0,4.0,6.0,3.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,7.0,5.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,4.0,3.0,6.0,5.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,6.0,4.0,7.0,5.0,6.0,7.0,5.0,5.0,8.0,7.0,5.0,6.0,7.0,5.0,5.0,5.0,4.0,7.0,8.0,9.0,10.0,8.0,8.0,5.0,10.0,6.0,8.0,9.0,4.0,9.0,8.0,4.0,6.0,10.0,10.0,6.0,5.0,9.0,9.0,11.0,12.0,11.0,10.0,10.0,10.0,12.0,14.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,14.0,8.0,8.0,10.0,8.0,11.0,7.0,7.0,5.0,10.0,10.0,10.0,10.0,5.0,9.0,9.0,9.0,9.0,421010238001
12.0,9.0,11.0,9.0,10.0,5.0,3.0,8.0,8.0,14.0,13.0,8.0,8.0,7.0,7.0,9.0,8.0,12.0,11.0,7.0,12.0,9.0,12.0,13.0,16.0,12.0,9.0,11.0,10.0,10.0,12.0,15.0,13.0,12.0,9.0,11.0,11.0,12.0,13.0,10.0,6.0,6.0,5.0,9.0,9.0,12.0,14.0,6.0,5.0,3.0,6.0,7.0,8.0,9.0,3.0,6.0,6.0,7.0,10.0,14.0,10.0,7.0,12.0,11.0,12.0,13.0,19.0,15.0,10.0,11.0,14.0,9.0,13.0,13.0,10.0,14.0,9.0,12.0,10.0,10.0,10.0,15.0,15.0,13.0,13.0,10.0,13.0,13.0,12.0,10.0,12.0,24.0,18.0,18.0,22.0,22.0,16.0,11.0,18.0,14.0,12.0,11.0,10.0,6.0,11.0,9.0,9.0,8.0,12.0,13.0,10.0,14.0,9.0,11.0,421010255003
16.0,17.0,20.0,21.0,17.0,17.0,11.0,8.0,14.0,15.0,16.0,15.0,12.0,8.0,11.0,12.0,11.0,17.0,11.0,11.0,11.0,8.0,9.0,14.0,14.0,11.0,13.0,15.0,12.0,11.0,12.0,17.0,15.0,11.0,15.0,13.0,12.0,18.0,16.0,15.0,15.0,11.0,16.0,11.0,10.0,17.0,16.0,10.0,10.0,10.0,8.0,8.0,12.0,8.0,4.0,9.0,12.0,13.0,10.0,20.0,13.0,14.0,12.0,11.0,11.0,15.0,10.0,10.0,10.0,13.0,10.0,15.0,13.0,12.0,12.0,13.0,13.0,15.0,14.0,12.0,11.0,16.0,15.0,20.0,14.0,18.0,16.0,18.0,15.0,13.0,15.0,16.0,15.0,13.0,16.0,14.0,11.0,14.0,15.0,12.0,17.0,13.0,15.0,14.0,12.0,10.0,13.0,11.0,11.0,11.0,14.0,11.0,13.0,16.0,421010281002
19.0,15.0,15.0,16.0,14.0,16.0,9.0,9.0,14.0,13.0,14.0,16.0,8.0,17.0,10.0,7.0,15.0,9.0,13.0,12.0,10.0,21.0,8.0,10.0,8.0,12.0,13.0,14.0,12.0,12.0,16.0,22.0,20.0,23.0,14.0,16.0,11.0,16.0,19.0,22.0,15.0,17.0,16.0,14.0,15.0,20.0,23.0,18.0,13.0,17.0,14.0,16.0,20.0,17.0,13.0,38.0,16.0,17.0,18.0,20.0,16.0,18.0,17.0,17.0,15.0,16.0,17.0,16.0,18.0,16.0,16.0,17.0,21.0,17.0,18.0,19.0,16.0,17.0,14.0,15.0,12.0,14.0,17.0,16.0,19.0,17.0,14.0,18.0,16.0,16.0,16.0,18.0,19.0,20.0,19.0,19.0,18.0,16.0,18.0,17.0,16.0,23.0,14.0,17.0,11.0,18.0,15.0,17.0,16.0,15.0,18.0,15.0,15.0,14.0,421010386001
32.0,26.0,32.0,34.0,24.0,22.0,20.0,28.0,21.0,35.0,38.0,23.0,17.0,14.0,17.0,17.0,23.0,35.0,24.0,27.0,18.0,20.0,20.0,24.0,33.0,22.0,20.0,17.0,25.0,15.0,23.0,47.0,31.0,27.0,23.0,26.0,27.0,38.0,42.0,29.0,22.0,18.0,27.0,19.0,22.0,22.0,31.0,31.0,21.0,21.0,24.0,27.0,31.0,21.0,22.0,16.0,22.0,21.0,28.0,36.0,28.0,25.0,24.0,29.0,25.0,31.0,27.0,28.0,23.0,24.0,25.0,30.0,28.0,37.0,35.0,30.0,35.0,34.0,34.0,35.0,23.0,34.0,39.0,36.0,37.0,39.0,36.0,34.0,34.0,31.0,33.0,40.0,30.0,38.0,33.0,35.0,36.0,34.0,33.0,36.0,34.0,38.0,42.0,39.0,36.0,39.0,39.0,37.0,38.0,42.0,38.0,37.0,35.0,26.0,421010098022
24.0,18.0,25.0,27.0,21.0,20.0,15.0,22.0,18.0,28.0,22.0,21.0,17.0,16.0,19.0,21.0,20.0,24.0,25.0,15.0,18.0,19.0,17.0,22.0,21.0,15.0,17.0,20.0,16.0,17.0,16.0,33.0,20.0,22.0,18.0,27.0,19.0,24.0,25.0,22.0,24.0,23.0,23.0,17.0,22.0,24.0,17.0,16.0,17.0,15.0,18.0,17.0,23.0,13.0,12.0,15.0,14.0,16.0,17.0,19.0,18.0,15.0,16.0,16.0,12.0,17.0,18.0,19.0,18.0,14.0,20.0,22.0,20.0,18.0,16.0,21.0,21.0,25.0,21.0,25.0,25.0,17.0,17.0,19.0,25.0,17.0,21.0,21.0,21.0,22.0,21.0,22.0,29.0,34.0,26.0,35.0,25.0,25.0,31.0,23.0,26.0,28.0,23.0,26.0,25.0,25.0,21.0,22.0,21.0,23.0,21.0,24.0,31.0,23.0,421010323002
7.0,7.0,8.0,8.0,11.0,7.0,6.0,4.0,7.0,8.0,8.0,7.0,8.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,6.0,3.0,5.0,5.0,5.0,4.0,10.0,7.0,8.0,9.0,6.0,6.0,7.0,10.0,8.0,9.0,5.0,8.0,6.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,6.0,5.0,5.0,2.0,5.0,6.0,4.0,4.0,7.0,7.0,4.0,9.0,3.0,6.0,9.0,10.0,8.0,8.0,9.0,4.0,4.0,3.0,7.0,8.0,5.0,7.0,9.0,10.0,6.0,9.0,10.0,11.0,7.0,11.0,7.0,7.0,12.0,8.0,8.0,10.0,9.0,7.0,5.0,7.0,6.0,6.0,8.0,7.0,7.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,4.0,421010202002
12.0,12.0,14.0,11.0,6.0,10.0,9.0,11.0,12.0,10.0,13.0,13.0,9.0,10.0,10.0,11.0,11.0,14.0,8.0,12.0,10.0,12.0,10.0,12.0,12.0,10.0,8.0,10.0,7.0,9.0,12.0,14.0,12.0,12.0,9.0,11.0,9.0,13.0,11.0,11.0,10.0,9.0,8.0,11.0,9.0,10.0,11.0,8.0,11.0,8.0,7.0,11.0,10.0,10.0,6.0,10.0,7.0,10.0,10.0,12.0,6.0,7.0,9.0,8.0,9.0,9.0,9.0,7.0,12.0,10.0,11.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,7.0,7.0,7.0,10.0,11.0,9.0,10.0,7.0,10.0,11.0,8.0,9.0,7.0,13.0,11.0,8.0,12.0,10.0,12.0,11.0,10.0,9.0,8.0,11.0,13.0,9.0,13.0,13.0,7.0,11.0,11.0,11.0,11.0,12.0,11.0,7.0,421010270001
18.0,15.0,18.0,15.0,23.0,16.0,21.0,20.0,19.0,19.0,20.0,17.0,17.0,11.0,16.0,15.0,17.0,17.0,16.0,14.0,14.0,11.0,14.0,18.0,17.0,20.0,12.0,10.0,9.0,13.0,15.0,27.0,23.0,22.0,18.0,24.0,20.0,19.0,28.0,21.0,18.0,16.0,19.0,14.0,16.0,14.0,14.0,13.0,14.0,13.0,15.0,16.0,18.0,17.0,14.0,11.0,16.0,15.0,15.0,19.0,14.0,21.0,16.0,16.0,18.0,18.0,11.0,10.0,15.0,18.0,18.0,18.0,15.0,17.0,16.0,19.0,21.0,23.0,15.0,13.0,18.0,15.0,18.0,19.0,18.0,20.0,18.0,19.0,18.0,23.0,20.0,27.0,24.0,24.0,25.0,21.0,24.0,28.0,23.0,28.0,26.0,27.0,19.0,22.0,25.0,22.0,19.0,18.0,20.0,20.0,21.0,20.0,22.0,22.0,421010289023
17.0,17.0,19.0,20.0,19.0,16.0,16.0,15.0,16.0,18.0,23.0,17.0,17.0,13.0,15.0,15.0,17.0,18.0,13.0,11.0,12.0,16.0,13.0,14.0,14.0,17.0,15.0,12.0,10.0,14.0,12.0,19.0,19.0,14.0,13.0,17.0,14.0,16.0,19.0,14.0,20.0,13.0,15.0,14.0,13.0,13.0,16.0,15.0,13.0,14.0,13.0,9.0,14.0,10.0,12.0,14.0,11.0,14.0,11.0,12.0,13.0,17.0,13.0,16.0,14.0,14.0,15.0,16.0,14.0,10.0,13.0,10.0,11.0,14.0,20.0,20.0,21.0,19.0,17.0,17.0,17.0,16.0,15.0,21.0,17.0,16.0,16.0,19.0,16.0,15.0,18.0,25.0,22.0,25.0,14.0,17.0,15.0,17.0,18.0,21.0,17.0,18.0,17.0,15.0,14.0,20.0,16.0,15.0,17.0,15.0,14.0,15.0,18.0,19.0,421010037012
26.0,23.0,21.0,20.0,20.0,19.0,23.0,22.0,16.0,20.0,22.0,17.0,19.0,19.0,15.0,16.0,24.0,20.0,23.0,11.0,16.0,18.0,19.0,17.0,19.0,21.0,17.0,19.0,14.0,15.0,18.0,24.0,22.0,24.0,28.0,17.0,23.0,22.0,29.0,18.0,26.0,23.0,18.0,22.0,18.0,21.0,22.0,17.0,17.0,17.0,14.0,18.0,16.0,15.0,15.0,14.0,19.0,16.0,11.0,21.0,19.0,18.0,17.0,22.0,18.0,20.0,19.0,17.0,16.0,21.0,24.0,16.0,22.0,18.0,20.0,15.0,21.0,24.0,22.0,15.0,15.0,18.0,22.0,17.0,26.0,21.0,18.0,27.0,20.0,20.0,17.0,24.0,26.0,28.0,27.0,20.0,23.0,22.0,23.0,23.0,15.0,16.0,13.0,20.0,20.0,20.0,18.0,17.0,20.0,14.0,19.0,20.0,19.0,16.0,421010201011
5.0,3.0,9.0,9.0,6.0,5.0,4.0,7.0,3.0,7.0,4.0,9.0,6.0,2.0,2.0,6.0,5.0,8.0,9.0,4.0,4.0,4.0,2.0,5.0,9.0,8.0,3.0,3.0,3.0,3.0,7.0,10.0,5.0,4.0,5.0,5.0,4.0,6.0,8.0,6.0,2.0,5.0,4.0,3.0,8.0,7.0,8.0,3.0,4.0,3.0,5.0,5.0,7.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,7.0,4.0,4.0,8.0,5.0,4.0,7.0,7.0,3.0,5.0,3.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,2.0,2.0,3.0,6.0,7.0,7.0,5.0,6.0,4.0,8.0,4.0,7.0,7.0,6.0,6.0,9.0,9.0,7.0,10.0,9.0,8.0,8.0,5.0,8.0,9.0,6.0,8.0,5.0,7.0,7.0,5.0,8.0,7.0,9.0,8.0,7.0,421010012014
15.0,19.0,14.0,12.0,13.0,13.0,15.0,10.0,9.0,13.0,13.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,11.0,6.0,6.0,10.0,9.0,12.0,13.0,9.0,7.0,7.0,10.0,10.0,10.0,16.0,16.0,14.0,10.0,11.0,16.0,16.0,18.0,13.0,14.0,13.0,12.0,11.0,13.0,11.0,13.0,9.0,7.0,11.0,11.0,15.0,15.0,12.0,11.0,13.0,12.0,9.0,8.0,10.0,8.0,13.0,10.0,12.0,11.0,15.0,7.0,10.0,13.0,10.0,15.0,9.0,9.0,11.0,8.0,8.0,10.0,12.0,10.0,9.0,10.0,13.0,12.0,13.0,14.0,9.0,11.0,13.0,9.0,10.0,11.0,15.0,19.0,14.0,10.0,16.0,12.0,12.0,11.0,12.0,17.0,14.0,14.0,11.0,13.0,10.0,11.0,14.0,11.0,15.0,16.0,16.0,10.0,14.0,421010284002
8.0,11.0,12.0,15.0,13.0,11.0,9.0,9.0,7.0,15.0,17.0,13.0,13.0,10.0,10.0,8.0,10.0,14.0,11.0,7.0,7.0,11.0,9.0,13.0,12.0,11.0,7.0,9.0,7.0,10.0,11.0,18.0,14.0,15.0,9.0,14.0,12.0,18.0,17.0,16.0,15.0,13.0,14.0,13.0,11.0,11.0,11.0,11.0,10.0,7.0,8.0,15.0,11.0,10.0,11.0,9.0,10.0,12.0,15.0,12.0,10.0,10.0,10.0,10.0,10.0,15.0,11.0,8.0,9.0,8.0,8.0,11.0,12.0,14.0,13.0,14.0,15.0,15.0,13.0,13.0,13.0,13.0,10.0,10.0,11.0,12.0,12.0,15.0,13.0,9.0,13.0,16.0,14.0,15.0,17.0,17.0,11.0,12.0,13.0,14.0,12.0,16.0,10.0,12.0,15.0,15.0,11.0,12.0,12.0,12.0,12.0,9.0,12.0,13.0,421010339001
11.0,11.0,14.0,14.0,10.0,9.0,9.0,11.0,11.0,13.0,15.0,6.0,11.0,8.0,9.0,11.0,11.0,8.0,14.0,6.0,9.0,9.0,10.0,12.0,10.0,10.0,7.0,9.0,11.0,6.0,12.0,20.0,14.0,13.0,13.0,11.0,10.0,12.0,14.0,11.0,12.0,8.0,12.0,9.0,12.0,11.0,12.0,8.0,7.0,8.0,11.0,14.0,11.0,9.0,6.0,12.0,7.0,10.0,11.0,12.0,6.0,6.0,8.0,10.0,8.0,13.0,11.0,12.0,9.0,7.0,14.0,12.0,11.0,12.0,12.0,11.0,17.0,12.0,9.0,16.0,11.0,11.0,14.0,11.0,12.0,14.0,10.0,10.0,9.0,13.0,10.0,12.0,17.0,14.0,14.0,17.0,14.0,15.0,12.0,18.0,15.0,20.0,10.0,15.0,15.0,17.0,16.0,14.0,11.0,14.0,13.0,15.0,15.0,12.0,421010218003
